,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,total,total,total,total,total,total,total,total,total
,0_19,20_29,30_39,40_49,50_59,60_69,70_79,80_99,total,0_19,20_29,30_39,40_49,50_59,60_69,70_79,80_99,total,0_19,20_29,30_39,40_49,50_59,60_69,70_79,80_99,total
2010-11-01,30.20721434187738,200.5593937363179,281.38754459612124,322.7105900197857,419.04255563788604,366.3866979677497,244.75019891834418,91.06405950907705,1956.1082547271592,14.156422804203034,82.02374515828765,124.26726947099839,127.40676026058543,146.73437535829007,166.7642061775912,119.36047100088817,100.66290331001082,881.3761535408548,44.363637146080414,282.58313889460555,405.6548140671196,450.1173502803711,565.7769309961761,533.1509041453409,364.11066991923235,191.72696281908787,2837.484408268014
2010-12-01,33.195442012435535,157.86196692133774,259.87726690455656,277.9267325250403,358.68293315326184,313.30409317867634,167.72232304119407,88.95334067883458,1657.524098415337,10.070718300382525,74.63134259366518,102.63294113896879,106.74873844179906,107.10204125862674,148.07830223999488,104.77238122015912,96.24443864172088,750.2809038353172,43.26616031281806,232.49330951500292,362.5102080435254,384.6754709668393,465.7849744118886,461.3823954186712,272.4947042613532,185.19777932055547,2407.805002250654
2011-01-01,30.848507688374372,177.37937476529848,245.86414699673063,294.74974193536616,352.35478367391437,288.2950613361249,167.97501677261303,83.09041194773529,1640.5570451161573,15.337482623886707,82.59078196178324,107.06813576437216,115.46454974118178,119.58328930974002,150.600461989778,104.24320320061626,72.34173244552476,767.2296370368828,46.18599031226108,259.9701567270817,352.9322827611028,410.21429167654793,471.93807298365437,438.8955233259029,272.2182199732293,155.43214439326005,2407.78668215304
2011-02-01,15.499150661283096,163.38729950948874,256.6421566723135,273.88779025261726,311.7892352782906,324.71303137071806,149.91966063365504,78.33993762532734,1574.1782620036936,14.30014916693212,61.61780247753634,104.9003122059345,87.0329653573501,96.6062692216081,125.54325355462804,94.94677810498935,80.4094987729284,665.3570288619069,29.79929982821522,225.00510198702509,361.542468878248,360.9207556099674,408.3955044998987,450.2562849253461,244.86643873864438,158.74943639825574,2239.5352908656005
2011-03-01,27.8342600758296,207.46886025196557,278.3630079525336,324.09599812217766,371.1769853565289,355.7270123229767,171.54010709798982,88.44379234454468,1824.6500235245464,12.271608378966857,69.00901663231423,93.69700533353306,120.72889846279065,119.59910004986418,136.0777169060208,89.94720338930804,86.61775008422083,727.9482992370185,40.10586845479646,276.4778768842798,372.0600132860667,444.8248965849683,490.7760854063931,491.80472922899753,261.48731048729786,175.0615424287655,2552.598322761565
2011-04-01,44.44132163608346,188.89455778288982,265.2236027745565,337.6618189253311,408.0639930657758,384.22775352039383,200.2893189065359,97.9478943035737,1926.7502609151404,14.295559905077198,96.05116205951848,117.20389978090803,109.01835633808969,142.2667896193325,131.72625116107292,149.00839656339303,101.75151067156658,861.3219260989584,58.736881541160656,284.94571984240827,382.42750255546457,446.6801752634208,550.3307826851083,515.9540046814668,349.2977154699289,199.69940497514028,2788.0721870140987
2011-05-01,51.35084418540189,248.8688375881016,381.0433588712382,405.1773250527082,459.0727139510448,434.54669385070014,248.00500901893406,117.82254840164865,2345.887330919778,21.45589768744136,142.07182695574528,174.88010010691272,159.42783162984048,147.5453644086004,181.6188497257983,153.18047272531425,140.49931696606362,1120.6796602057166,72.80674187284325,390.9406645438469,555.9234589781508,564.6051566825487,606.6180783596452,616.1655435764984,401.1854817442483,258.32186536771223,3466.5669911254945
2011-06-01,42.144518379964936,197.36938053813194,274.3792819923003,336.88699559050207,420.5713550856992,359.97576902457274,235.70651663453657,124.07823214412463,1991.1120493898325,24.48,126.1906577693041,137.6160370084811,135.0775075987842,110.99253731343283,177.17064220183485,148.8462093862816,90.46027633851467,950.8338676166334,66.62451837996494,323.560038307436,411.9953190007814,471.96450318928623,531.5638923991321,537.1464112264076,384.55272602081817,214.53850848263932,2941.9459170064656
2011-07-01,38.325122952210286,173.36058754741603,272.2176784847164,288.3948155984118,335.8640765703545,351.0406607547621,233.3139569839627,132.2649556632911,1824.781854555125,12.24,94.90371782650143,129.40015420200461,124.6063829787234,129.66417910447763,160.59327217125383,134.57328519855596,119.93609671848014,905.9170881999969,50.56512295221029,268.26430537391747,401.617832686721,413.0011985771352,465.5282556748321,511.6339329260159,367.88724218251866,252.20105238177123,2730.6989427551216
2011-08-01,33.86788549302789,181.2522985807031,255.96690757932,341.62958892951923,299.1861346351555,278.25291356198693,199.93152734633483,119.7879114621972,1709.8751675882447,23.486535160595082,80.39397521685527,102.81469544418081,139.42347852721255,126.6953796405986,131.7317055090219,120.43643046518109,104.80839558069306,829.7905955443383,57.354420653622974,261.64627379755837,358.7816030235008,481.0530674567318,425.8815142757541,409.98461907100886,320.3679578115159,224.59630704289026,2539.665763132583
