,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,total,total,total,total,total,total,total,total,total
,20_29,30_39,40_49,50_59,60_69,70_79,80_99,0_19,total,20_29,30_39,40_49,50_59,60_69,70_79,80_99,0_19,total,20_29,30_39,40_49,50_59,60_69,70_79,80_99,0_19,total
2016-09-01,5.1048584351608035,3.5514233660263894,2.576944983318319,2.794145683869334,2.985555774932819,0.0,0.0,1.4577095786302305,3.3359784329156326,3.8561528621123706,3.291605745079498,2.330716912199666,2.1032980561567047,1.783116561733883,0.0,0.0,0.9588346670287543,2.6014367334802726,4.59485951754176,3.434339265002123,2.462317817660659,2.5264304892468843,2.531072092894947,0.0,0.0,1.2441319681181282,2.978358167282094
2016-10-01,5.188914259778275,3.5578373645924506,2.4745169928563886,2.643059294986527,2.674218104553059,0.0,0.0,1.4219588102893566,3.226757518650138,4.091356906395022,3.3345787359018777,2.555431787194782,2.1654207369192395,1.6484678205805436,0.0,0.0,1.0980399113386126,2.762715961783399,4.686171209890949,3.49748503621186,2.535360237023615,2.4971185717218445,2.3135971351498776,0.0,0.0,1.2619405528528258,2.986205173644154
2016-11-01,4.87228539640217,3.621816342790516,2.6271475714731576,2.8041678596687962,2.7224481005762113,0.0,0.0,1.3209651218105607,3.151159380010289,3.9345102749439427,3.502526014007736,2.633207683478836,2.271518710392627,1.8132885977668813,0.0,0.0,0.9374257953632368,2.7955833087663713,4.462569100590406,3.524355357738841,2.62656743614283,2.6040805815631654,2.3503285155586946,0.0,0.0,1.1602528050061627,3.0535004568465896
2016-12-01,4.95919190389667,3.811447902383647,2.7355439152320304,2.8147140259878762,2.801270344907679,0.0,0.0,1.352099716760049,3.253062885807842,3.9696996220416834,3.324151998897661,2.4531527915687428,2.131974776966331,1.6377222407352456,0.0,0.0,1.018598243100319,2.6456555474268417,4.475552118741713,3.5936861321087488,2.641899394507486,2.512665279682835,2.3161994993849264,0.0,0.0,1.1939384919835536,3.0033318843285826
2017-01-01,4.873910920217357,3.522705089801937,2.6115698871197335,2.741198631136,3.0193497454251963,0.0,0.0,1.3950429203550496,3.2134631045316877,3.857735165365204,3.347871860730467,2.5898470067771298,2.2724210556039184,1.7938525151341365,0.0,0.0,0.9896042325067449,2.7050410109346554,4.3704275937865065,3.440619112721029,2.620296761792943,2.5666992309368886,2.5125826887988887,0.0,0.0,1.185206011653256,3.035603700232884
2017-02-01,4.333143933265312,3.52910840414309,2.6354199692229443,2.7190970890962967,2.524192209324701,0.0,0.0,1.0918188035169307,3.0856953377254266,4.0435809758898165,3.290411151742921,2.519006328366496,2.1480068330804896,1.649975470480423,0.0,0.0,1.0618315681792545,2.6963288322120267,4.172392462580972,3.404406348690628,2.60060195319845,2.547006096744467,2.1955644821308438,0.0,0.0,1.0598102925821227,2.852940995912489
2017-03-01,3.900099575521589,3.187062253766382,2.560374444108186,2.700142805494126,2.6291370315117084,0.0,0.0,1.0334177980975408,2.9389645234317827,4.337084380318393,3.24544477512739,2.415671292790533,2.204058330279662,1.5695919070697941,0.0,0.0,1.1823109113072892,2.6837570198014298,4.121427876943253,3.194001909470865,2.4851476280954854,2.489761847400976,2.1138738178589596,0.0,0.0,1.117214153953621,2.7830692641326062
2017-04-01,4.366771637745405,3.1843118594684388,2.598127193931785,2.549686950196135,2.391853309526687,0.0,0.0,1.272986660082645,2.856755590561288,4.1992760380909395,3.056746790615276,2.5917183313383507,2.289760352984513,1.6144293368404405,0.0,0.0,1.243866797506182,2.6322792828395425,4.275012737120836,3.1024531173503815,2.539727617784252,2.381502543680909,2.0076648407968394,0.0,0.0,1.2545121443511107,2.7593801829276865
2017-05-01,4.81633845446575,3.4837148620613942,2.621911572369303,3.105190254157468,2.825331378216166,0.0,0.0,1.2898581827555218,3.219732174310096,4.246961290742844,3.1036938412853683,2.785753257157382,2.476492729439949,1.7814201733155213,0.0,0.0,1.27016363677214,2.8972753589491482,4.593070421996746,3.3172684739046625,2.689239804443497,2.808261719313427,2.412993846109443,0.0,0.0,1.29204450955889,3.0473599544900343
2017-06-01,4.389971321019084,3.0952537477127215,2.424298975595658,2.75018909160031,2.7231320293122336,0.0,0.0,1.2714808670416913,2.936112553925991,3.7988277534256945,3.0357139467477934,2.500759958415731,2.2891836201815075,2.013086041341914,0.0,0.0,1.0402869471772473,2.643131683276474,4.120313144164547,3.035623839782149,2.412131091561041,2.5908281025626345,2.4084198563794375,0.0,0.0,1.154673638289381,2.795947136403512
2017-07-01,4.782332886941516,3.489515270950262,2.550458525544247,2.6624362189822834,2.4244410331123856,0.0,0.0,1.3069178279103915,3.0598477453236264,3.8697671785084014,2.980470956034626,2.3234077384600846,1.9724096984892552,1.7102334054256456,0.0,0.0,1.0976292339861684,2.513738957420611,4.374828303536524,3.2734491570407123,2.452572986843056,2.3863823845238414,2.145657147711607,0.0,0.0,1.2095695994271394,2.800651214382035
2017-08-01,4.661556543544114,3.4317310215717054,2.3919473743313096,2.456411770334487,2.4124024712408723,0.0,0.0,1.2193170320028912,2.905628352831153,3.7143081061427248,3.0277923669238582,2.394081363047951,2.1024131767418677,1.4645975385772727,0.0,0.0,1.0211554659771507,2.496657069159173,4.2140492175732405,3.249206206367303,2.391929918100373,2.3102342927447106,1.990303332346512,0.0,0.0,1.1232368861389022,2.729824608901054
2017-09-01,4.2382604599992515,3.1385352395367168,2.577456290520672,2.7209232951667,2.407410969154981,0.0,0.0,1.224601518108728,2.8455905337505953,3.913190181118106,3.1042595914776427,2.517784108297503,2.309770093522331,1.5729382221627266,0.0,0.0,1.1021614581624344,2.6998986471719113,4.104236545575564,3.1636254803778314,2.595751667740964,2.553857035166491,2.061233830309031,0.0,0.0,1.1683501321570107,2.778551574960819
