date,gender_group,age_group,value
2013-07-01,male,30_39,229.2307216656599
2013-08-01,male,30_39,215.91183817389307
2013-09-01,male,30_39,212.9198049302187
2013-10-01,male,30_39,222.1088638318728
2013-11-01,male,30_39,178.37453774258123
2013-12-01,male,30_39,213.00935144849976
2014-01-01,male,30_39,207.96908555905554
2014-02-01,male,30_39,174.7582165244534
2014-03-01,male,30_39,227.5053637074615
2014-04-01,male,30_39,186.2892737275877
2014-05-01,male,30_39,242.5972553452769
2014-06-01,male,30_39,198.14601926924453
2014-07-01,male,30_39,188.4525651758563
2014-08-01,male,30_39,200.58460123378794
2014-09-01,male,30_39,198.3925407213135
2014-10-01,male,30_39,206.88302344937028
2014-11-01,male,30_39,207.98478290190022
2014-12-01,male,30_39,183.7516208135281
2015-01-01,male,30_39,205.82757378460903
2015-02-01,male,30_39,181.5414526398484
2015-03-01,male,30_39,234.9117040879027
2015-04-01,male,30_39,220.31264726869497
2015-05-01,male,30_39,190.68739510863557
2015-06-01,male,30_39,161.1858991952419
2015-07-01,male,30_39,170.54076673626196
2015-08-01,male,30_39,186.26662982988245
2015-09-01,male,30_39,172.50963814581166
2015-10-01,male,30_39,201.0419032896415
2015-11-01,male,30_39,199.8526685406581
2015-12-01,male,30_39,160.05960417965994
2016-01-01,male,30_39,195.25181254311883
2016-02-01,male,30_39,152.6756782785179
2016-03-01,male,30_39,205.21457477373485
2016-04-01,male,30_39,176.271005421228
2016-05-01,male,30_39,182.2737469213155
2016-06-01,male,30_39,169.50831055751888
2016-07-01,male,30_39,191.57642284237645
2016-08-01,male,30_39,153.2009044416328
2016-09-01,male,30_39,164.86854110947547
2016-10-01,male,30_39,167.33995418157028
2016-11-01,male,30_39,153.63438037806202
2016-12-01,male,30_39,140.41365945027331
2017-01-01,male,30_39,173.10525564555468
2017-02-01,male,30_39,151.67709335809755
2017-03-01,male,30_39,164.89658856238847
2017-04-01,male,30_39,161.7118245590431
2017-05-01,male,30_39,198.5318323167642
2017-06-01,male,30_39,164.91014829839065
2017-07-01,male,30_39,172.97678043133837
2017-08-01,male,30_39,194.95672121846056
2017-09-01,male,30_39,179.4396298453461
2017-10-01,male,30_39,164.47334534960834
2017-11-01,male,30_39,150.43559529562643
2017-12-01,male,30_39,139.55027275557322
2018-01-01,male,30_39,166.11397694819405
2018-02-01,male,30_39,166.11652923967702
2018-03-01,male,30_39,176.9341803084012
2018-04-01,male,30_39,184.29612583560868
2018-05-01,male,30_39,155.64830155200931
2018-06-01,male,30_39,149.13740584280438
2018-07-01,male,30_39,136.46010443983837
2018-08-01,male,30_39,143.72807662983706
2018-09-01,male,30_39,170.61657027269038
2018-10-01,male,30_39,175.39841882640764
2018-11-01,male,30_39,149.04204807122488
2018-12-01,male,30_39,163.01296642875693
2019-01-01,male,30_39,194.33242340087187
2019-02-01,male,30_39,140.9477118706061
2019-03-01,male,30_39,173.48884929069774
2019-04-01,male,30_39,164.22522665271626
2019-05-01,male,30_39,195.4841794259714
2019-06-01,male,30_39,144.11443804093372
2019-07-01,male,30_39,163.2255030808762
2019-08-01,male,30_39,135.88192065412704
2019-09-01,male,30_39,148.9175672609587
2019-10-01,male,30_39,124.50595682110469
2019-11-01,male,30_39,145.02303755083415
2019-12-01,male,30_39,153.87541925750625
2020-01-01,male,30_39,149.65876827161435
2020-02-01,male,30_39,140.08483722336152
2020-03-01,male,30_39,175.2405768130947
2020-04-01,male,30_39,114.82390060682623
